# A table of character level to xp necessary for the next level.
# The actual formula seems quite gnarly and needs information from the game itself (e.g. xp from different enemies).
# A simple copy-pasted table seems easy enough to maintain as these values are not going to change anytime soon.
# Sourced from Wowpedia (https://wowpedia.fandom.com/wiki/Experience_to_level#Experience_to_level_pre-Cata).

character-level	xp-to-next-level
1	400
2	900
3	1,400
4	2,100
5	2,800
6	3,600
7	4,500
8	5,400
9	6,500
10	7,600
11	8,700
12	9,800
13	11,000
14	12,300
15	13,600
16	15,000
17	16,400
18	17,800
19	19,300
20	20,800
21	22,400
22	24,000
23	25,500
24	27,200
25	28,900
26	30,500
27	32,200
28	33,900
29	36,300
30	38,800
31	41,600
32	44,600
33	48,000
34	51,400
35	55,000
36	58,700
37	62,400
38	66,200
39	70,200
40	74,300
41	78,500
42	82,800
43	87,100
44	91,600
45	96,300
46	101,000
47	105,800
48	110,700
49	115,700
50	120,900
51	126,100
52	131,500
53	137,000
54	142,500
55	148,200
56	154,000
57	159,900
58	165,800
59	172,000
60	290,000
61	317,000
62	349,000
63	386,000
64	428,000
65	475,000
66	527,000
67	585,000
68	648,000
69	717,000
70	1,523,800
71	1,539,000
72	1,555,700
73	1,571,800
74	1,587,900
75	1,604,200
76	1,620,700
77	1,637,400
78	1,653,900
79	1,670,800
80	0
